userId,courseId,score
3,543,85.0
3,9667,15.0
13,9537,54.0
14,3504,96.7
14,10555,1.0
16,5859,75.0
24,599,100.0
49,772,95.0
60,599,100.0
60,3388,69.25
62,772,85.0
67,4627,56.0
67,6813,46.7
73,599,45.0
73,3388,76.5
74,853,16.8
74,1055,60.0
74,4333,15.0
74,4611,59.333333333333336
74,8237,98.0
89,3038,90.0
92,853,11.6
98,5076,49.0
98,5614,76.0
115,5436,59.25
153,11078,80.0
251,543,82.0
264,1064,100.0
278,1066,80.0
296,800,19.333333333333332
296,1076,90.0
322,2676,87.5
324,2377,15.5
324,2378,18.0
346,3037,84.66666666666667
346,3038,91.0
346,3062,93.0
346,5433,98.0
347,5625,65.0
393,3141,92.0
404,4896,73.5
404,4933,87.5
458,5918,57.75
506,853,6.5
510,1066,92.5
561,3141,79.0
573,3141,83.0
619,3141,94.0
635,5544,66.0
635,5614,62.5
635,5625,73.5
676,4355,55.166666666666664
676,4896,51.5
676,4933,74.0
753,683,19.0
753,2676,99.0
753,7381,46.0
781,2438,85.0
781,2613,8.0
781,2614,12.0
781,2996,86.0
789,3141,91.0
791,5943,54.333333333333336
802,3141,83.0
849,3698,47.666666666666664
849,10211,52.666666666666664
851,4896,76.5
877,9803,50.166666666666664
879,543,82.0
954,3037,52.0
954,3062,79.0
966,2913,84.0
966,5919,94.5
1022,4838,2.0
1022,4896,37.0
1022,4933,91.0
1034,2676,99.5
1035,5436,48.333333333333336
1057,7092,54.166666666666664
1057,10211,60.5
1116,1066,80.0
1116,1274,20.0
1122,3867,10.0
1136,772,87.5
1136,2676,100.0
1168,11356,49.5
1169,8433,42.0
1192,8715,50.166666666666664
1196,4627,42.25
1196,6810,38.625
1256,559,85.0
1331,4433,37.0
1331,4730,67.75
1331,4838,70.0
1331,4933,62.75
1351,4083,68.875
1357,5401,82.0
1357,8428,79.5
1423,762,14.0
1447,8361,56.8
1559,10203,81.5
1569,9773,98.5
1600,4084,63.5
1837,4729,100.0
1837,4896,88.0
1837,4933,94.5
1904,11766,52.333333333333336
2094,7134,50.7
2109,2676,90.0
2134,1275,16.0
2160,1873,10.0
2184,3062,95.0
2191,5922,84.0
2200,4174,61.5
2200,11763,46.666666666666664
2285,5614,77.0
2285,5625,84.0
2335,9160,62.0
2335,9194,77.5
2456,4463,22.0
2456,4635,54.333333333333336
2467,4627,53.785714285714285
2467,5436,54.8125
2467,6816,56.4
2500,8265,30.0
2546,5859,67.5
2546,6294,1.0
2555,4933,62.5
2555,5436,58.2
2559,1908,100.0
2760,4084,56.5
2760,6810,43.9
2760,10203,44.666666666666664
2778,5505,26.5
2846,828,14.5
2939,3062,88.5
2939,4174,71.3
2939,4627,37.0
2940,3037,60.5
2940,4174,59.5
2940,4902,26.833333333333332
2940,6202,72.0
2943,3062,93.0
2943,4138,67.0
2943,4627,29.0
2943,4907,26.5
2943,6202,70.5
2943,11765,85.5
2946,829,18.8
2946,2377,20.0
2946,9667,45.3
2977,3001,14.5
2977,3002,18.0
2977,3138,95.0
2979,5078,51.0
3018,9014,92.5
3039,1070,75.0
3039,1266,17.0
3039,1267,12.0
3079,1070,65.0
3079,1266,20.0
3082,3074,12.0
3082,9537,1.0
3082,10860,1.0
3083,3037,84.0
3083,3062,87.66666666666667
3101,4902,64.0
3316,8265,53.6
3316,9667,64.83333333333333
3326,5412,79.0
3349,5528,96.0
3417,849,11.0
3417,4730,75.0
3417,4933,60.0
3443,5614,67.5
3479,2913,71.66666666666667
3502,5544,44.0
3590,5914,44.166666666666664
3623,896,18.0
3626,5401,57.3
3857,6148,38.5
3881,3141,94.0
